AgeGroup,EuropeanStandardPopulation,Group
Under 1 year,1000,0
0-4 years,4000,1
5-9 years,5500,1
10-14 years,5500,1
15-19 years,5500,2
20-24 years,6000,2
25-29 years,6000,2
30-34 years,6500,2
35-39 years,7000,2
40-44 years,7000,2
45-49 years,7000,3
50-54 years,7000,3
55-59 years,6500,3
60-64 years,6000,3
65-69 years,5500,4
70-74 years,5000,4
75-79 years,4000,5
80-84 years,2500,5
85-89 years,1500,6
90plus years,1000,6
